,LSOA,crime_per_1000,Postcode,LSOA2,Latitude,Longitude
288,E01000297,32.37410071942446,N3  2EU,E00001464,51.599965000000005,-0.179064
289,E01000298,88.35758835758837,N3  2NX,E00001454,51.606514000000004,-0.18623900000000002
290,E01000299,141.24737945492663,N12 0BL,E00001479,51.611771999999995,-0.17736400000000002
291,E01000300,45.815516188149054,N12 8JL,E00001467,51.616333000000004,-0.181514
292,E01000301,39.719626168224295,N3  1NE,E00001488,51.609008,-0.18642899999999998
293,E01000302,79.89276139410188,N12 8PB,E00001480,51.610999,-0.184919
294,E01000303,29.743268628678774,N3  1AH,E00001490,51.608434,-0.194669
295,E01000304,31.65334972341733,N3  1EL,E00001450,51.60606,-0.199384
296,E01000305,126.60704304080491,NW9 7AU,E00001520,51.57415,-0.23753200000000002
297,E01000306,28.903456495828365,NW4 3SY,E00001500,51.5799,-0.23719400000000002
298,E01000307,628.2816229116945,NW2 1LD,E00001496,51.574690999999994,-0.222142
299,E01000308,73.48342714196372,NW9 7WW,E00001514,51.578437,-0.24455300000000002
300,E01000309,53.88272583201268,NW4 4NS,E00001494,51.583501,-0.235654
301,E01000310,104.09556313993174,NW4 3EB,E00001501,51.579619,-0.22570199999999999
302,E01000311,56.81818181818181,NW4 2QN,E00001505,51.580047,-0.214225
303,E01000312,63.02054414214325,NW9 7RU,E00001538,51.58126,-0.250521
304,E01000313,72.08121827411168,NW4 4NX,E00001537,51.582099,-0.23628600000000002
305,E01000314,96.90937663698271,NW4 3SE,E00001534,51.580346999999996,-0.231057
306,E01000315,91.59420289855072,N12 0QX,E00001553,51.609999,-0.16741199999999998
307,E01000316,142.03375874845617,N3  2AS,E00001567,51.602863,-0.177475
308,E01000317,43.74240583232078,N12 0HN,E00001561,51.607983000000004,-0.182339
309,E01000318,63.236870310825296,N12 9HJ,E00001551,51.613141,-0.171098
310,E01000319,39.05249679897567,N3  2AU,E00001568,51.602501000000004,-0.175035
311,E01000320,57.61843790012804,N12 9JP,E00001573,51.621283,-0.174252
312,E01000321,89.70499698976519,N12 8TT,E00001581,51.616715,-0.178928
313,E01000322,69.3889206167904,N12 9RH,E00001580,51.618763,-0.176419
314,E01000323,190.93851132686086,N12 9DT,E00001540,51.615101,-0.174573
315,E01000324,55.0755939524838,N12 9AB,E00001585,51.616021,-0.162662
316,E01000325,40.70131496556043,DA7 6JW,E00001592,51.462205,0.166024
317,E01000326,47.114682249817385,DA7 6NY,E00001607,51.462225,0.17806
318,E01000327,38.79026955950033,DA7 6HE,E00001609,51.464456,0.157089
319,E01000328,83.27803583278036,DA7 6EN,E00001619,51.459454,0.16061
320,E01000329,77.04042715484363,DA7 6AF,E00001618,51.455712,0.156273
321,E01000330,81.25399872040946,DA7 6ES,E00001617,51.459921,0.158199
322,E01000331,79.06114885731934,DA6 7YA,E00001591,51.453191,0.158875
323,E01000332,48.458149779735685,DA176EU,E00001651,51.486428000000004,0.1516
324,E01000333,89.08045977011494,DA175HZ,E00001631,51.480745,0.14368499999999998
325,E01000334,42.51497005988024,DA175NG,E00001630,51.480654,0.14178
326,E01000335,175.69620253164555,DA176JN,E00001635,51.492779999999996,0.1519
327,E01000336,88.2804503582395,DA175BX,E00001646,51.489108,0.146671
328,E01000337,50.14577259475218,DA175BQ,E00001648,51.485709,0.144177
329,E01000338,57.915057915057915,DA175ZN,E00001627,51.490522,0.148005
330,E01000339,41.257367387033405,SE9 2EZ,E00001683,51.440135,0.080728
331,E01000340,32.637075718015666,DA158QY,E00001688,51.450528999999996,0.090931
332,E01000341,35.24804177545692,DA158QN,E00001690,51.450143,0.093907
333,E01000342,33.271719038817004,DA158JY,E00001669,51.445436,0.092583
334,E01000343,42.52577319587629,DA158NR,E00001691,51.449508,0.10175
335,E01000344,37.66074709124311,DA158AU,E00001663,51.440789,0.083348
336,E01000345,24.03495994173343,DA158JQ,E00001675,51.442693,0.09008300000000001
337,E01000346,33.27338129496403,DA159ZP,E00001724,51.444937,0.10936900000000001
338,E01000347,41.08681245858184,DA159HR,E00001711,51.448799,0.10769000000000001
339,E01000348,28.774542992552472,DA5 3BW,E00001725,51.443914,0.128692
340,E01000349,33.07276007215875,DA5 1JW,E00001695,51.447860999999996,0.130674
341,E01000350,65.46426185704743,DA159DR,E00001701,51.442591,0.10482899999999999
342,E01000351,35.582822085889575,DA5 3EW,E00001721,51.446737,0.118274
343,E01000352,87.62254901960783,DA5 1DE,E00001709,51.44761,0.119754
344,E01000353,31.25,DA7 5AG,E00001748,51.46774,0.142759
345,E01000354,43.94141145139813,DA7 5JF,E00001732,51.471508,0.134901
